"","n","classifier_accuracy","retrieval_recall@5","mean_universal","unsupported_rate","escalation_rate","auto_handle_safe_rate","unsafe_automation_rate","safe_automation_coverage"
"natural","109.0","0.6055045871559633","0.5229357798165137","13.440366972477063","0.1834862385321101","0.0","0.3761467889908257","0.6238532110091743","0.27522935779816515"
"targeted","30.0","0.6","0.5666666666666667","13.133333333333333","0.23333333333333334","0.0","0.5","0.5","0.36666666666666664"
"all","139.0","0.60431654676259","0.5323741007194245","13.37410071942446","0.19424460431654678","0.0","0.4028776978417266","0.5971223021582733","0.2949640287769784"
