"intent","n","support_flag","classifier_accuracy","retrieval_recall@5","mean_universal","unsafe_automation_rate","safe_automation_coverage","escalation_rate"
"delay_compensation","18","","0.16666666666666666","0.5","13.0","0.5555555555555556","0.3333333333333333","0.0"
"refund_request","10","","0.9","0.2","14.0","0.3","0.6","0.0"
"booking_issue","14","","0.5714285714285714","0.7142857142857143","13.214285714285714","0.5714285714285714","0.2857142857142857","0.0"
"timetable_info","10","","0.3","0.8","13.9","0.8","0.2","0.0"
"service_disruption","18","","0.8333333333333334","1.0","13.5","0.7222222222222222","0.16666666666666666","0.0"
"seat_reservation","9","unstable","0.7777777777777778","0.5555555555555556","13.222222222222221","0.5555555555555556","0.3333333333333333","0.0"
"lost_property","7","unstable","0.5714285714285714","0.0","12.571428571428571","0.42857142857142855","0.14285714285714285","0.0"
"on_board_issue","23","","0.7391304347826086","0.5217391304347826","13.478260869565217","0.6521739130434783","0.2608695652173913","0.0"
"praise_or_chatter","11","","0.8181818181818182","0.5454545454545454","13.0","0.5454545454545454","0.2727272727272727","0.0"
"other","18","","0.5","0.2222222222222222","13.666666666666666","0.6666666666666666","0.3333333333333333","0.0"
"ambiguous","1","LOW_SUPPORT","0.0","0.0","12.0","0.0","1.0","0.0"
