root_id,n_tweets,n_inbound,n_outbound
13276,2,1,1
13314,7,5,2
13323,2,1,1
13336,2,1,1
13354,2,1,1
13360,6,3,3
13375,2,1,1
13424,2,1,1
13435,4,3,1
13437,6,2,4
13453,4,3,1
13490,4,3,1
13590,6,3,3
13593,2,1,1
13617,4,2,2
13634,2,1,1
13658,2,1,1
13670,2,1,1
13678,2,1,1
13687,2,1,1
13706,3,2,1
13708,2,1,1
13756,2,1,1
13832,2,1,1
13843,4,3,1
13850,3,2,1
13856,2,1,1
13897,38,22,16
13905,2,1,1
13911,9,3,6
13949,4,2,2
13951,2,1,1
13990,4,3,1
14004,8,4,4
14024,2,1,1
14082,2,1,1
14130,2,1,1
14132,2,1,1
14173,4,2,2
14214,2,1,1
14240,9,5,4
14244,2,1,1
14281,5,3,2
14303,3,2,1
14308,5,3,2
14319,4,2,2
14334,2,1,1
14341,2,1,1
14345,2,1,1
14347,2,1,1
14353,4,2,2
14364,5,3,2
14390,10,6,4
14392,3,1,2
14448,3,2,1
14469,4,2,2
14483,2,1,1
14485,2,1,1
14490,3,2,1
14500,4,2,2
14550,2,1,1
14618,2,1,1
14655,13,7,6
14678,2,1,1
14699,2,1,1
14731,2,1,1
14751,4,2,2
14754,2,1,1
14761,2,1,1
14765,2,1,1
14783,2,1,1
14794,4,3,1
14808,2,1,1
14810,2,1,1
14817,2,1,1
14821,2,1,1
14845,2,1,1
14851,4,2,2
14867,2,1,1
14869,2,1,1
14873,2,1,1
14912,2,1,1
14933,2,1,1
14941,2,1,1
14962,3,1,2
14974,2,1,1
14979,5,3,2
14984,2,1,1
14992,2,1,1
14995,2,1,1
15001,5,3,2
15006,2,1,1
15023,2,1,1
15025,2,1,1
15029,2,1,1
15031,2,1,1
15051,2,1,1
15074,4,2,2
15156,5,3,2
15176,7,2,5
15184,7,4,3
15221,2,1,1
15234,4,2,2
15256,2,1,1
15308,2,1,1
15313,2,1,1
15337,2,1,1
15371,2,1,1
15373,2,1,1
15405,6,4,2
15503,2,1,1
15508,3,2,1
15526,15,9,6
15564,21,15,6
15571,5,2,3
15709,2,1,1
15732,4,2,2
15735,4,2,2
15752,2,1,1
15772,2,1,1
15939,2,1,1
15969,2,1,1
16000,29,20,9
16011,4,2,2
16014,2,1,1
16040,4,2,2
16051,2,1,1
16071,11,8,3
16142,2,1,1
16144,2,1,1
16146,2,1,1
16185,8,4,4
16310,4,2,2
16343,9,3,6
16367,3,2,1
16379,4,2,2
16408,2,1,1
16448,4,2,2
16549,2,1,1
16564,3,2,1
16613,2,1,1
16658,3,2,1
16672,2,1,1
16679,2,1,1
16691,9,4,5
16747,10,5,5
16754,7,4,3
16895,2,1,1
16916,2,1,1
16933,2,1,1
16965,2,1,1
16985,2,1,1
16999,2,1,1
17037,2,1,1
17053,2,1,1
17178,5,3,2
17216,32,13,19
17240,15,7,8
17274,2,1,1
17277,3,2,1
17337,4,2,2
17351,2,1,1
17353,2,1,1
17355,2,1,1
17454,2,1,1
17459,2,1,1
17485,6,4,2
17487,2,1,1
17493,3,2,1
17511,2,1,1
17517,2,1,1
17546,7,4,3
17562,4,2,2
17656,21,13,8
17688,2,1,1
17726,2,1,1
17737,2,1,1
17749,2,1,1
17766,2,1,1
17822,2,1,1
17836,2,1,1
17873,2,1,1
17916,6,3,3
17944,2,1,1
18032,5,3,2
18047,6,2,4
18101,2,1,1
18103,2,1,1
18108,8,5,3
18162,7,5,2
18184,2,1,1
18218,2,1,1
18232,4,2,2
18274,5,2,3
18281,4,2,2
18305,2,1,1
18366,2,1,1
18408,2,1,1
18444,4,2,2
18449,2,1,1
18485,2,1,1
18510,2,1,1
18513,2,1,1
18515,2,1,1
18517,2,1,1
18528,6,3,3
18537,2,1,1
18543,7,4,3
18552,2,1,1
18560,10,5,5
18576,15,7,8
18601,2,1,1
18649,10,4,6
18663,2,1,1
18666,3,2,1
18668,2,1,1
18682,3,2,1
18741,4,2,2
18773,2,1,1
18798,5,3,2
18836,3,2,1
18894,4,2,2
18972,4,2,2
18985,12,7,5
19024,3,2,1
19044,3,2,1
19096,2,1,1
19240,6,3,3
19244,2,1,1
19310,9,6,3
19387,8,4,4
19419,2,1,1
19485,4,2,2
19832,5,3,2
19834,2,1,1
19847,2,1,1
19883,9,7,2
19895,12,7,5
19897,2,1,1
19962,2,1,1
20019,2,1,1
20039,2,1,1
20043,3,1,2
20055,2,1,1
20061,2,1,1
20068,3,2,1
20073,2,1,1
20135,5,3,2
20137,2,1,1
20140,4,2,2
20149,4,2,2
20151,2,1,1
20165,14,5,9
20181,3,2,1
20186,15,8,7
20360,4,3,1
20375,5,2,3
20559,6,3,3
20633,15,9,6
20682,7,3,4
20701,13,6,7
20723,2,1,1
20738,2,1,1
20790,2,1,1
20794,2,1,1
20806,4,2,2
20849,4,2,2
20852,4,2,2
20861,2,1,1
20889,2,1,1
20891,2,1,1
20901,3,2,1
20906,2,1,1
20928,5,2,3
20933,3,2,1
20953,9,5,4
21079,5,3,2
21082,4,1,3
21121,6,4,2
21140,6,4,2
21144,2,1,1
21178,2,1,1
21180,2,1,1
21188,4,2,2
21231,6,3,3
21249,7,4,3
21321,4,2,2
21403,14,8,6
